Message,Category,contains_phone_number,contains_URL_link,Keywords,Special_Characters,Amount,Length,SMS_Number,word_count,label_numeric
"हाय मोहित
केवल वजन कम करना ही नहीं आंतरिक स्वास्थ्य भी मायने रखता है।
699 रुपये में पूर्ण शारीरिक परीक्षण के साथ अपने स्वास्थ्य की स्थिति की जाँच करें।
हेल्थियंस 9289628086 पर कॉल करें",spam,1,0,1,0,0,184,0,34,0
कोई डाउनपेमेंट नहीं! ₹10 लाख तक लोन। अभी संपर्क करें।,spam,0,0,1,1,1,53,0,10,0
"जब भी आप फ्री हों, मुझे बताएं।",ham,0,0,1,1,0,30,0,7,1
आते वक्त मेरे लिए खाना लेके आना ।,ham,0,0,0,0,0,33,0,8,1
"स्वतःचं एवं आपल्या प्रियजनांचं आयुष्य विंसनाच्या विळख्यातून सोडवा। व्यसनमुक्ति धोरण स्वीकारा, आरोग्याद जीवन जगयला सुरुवात करा!
सामाजिक न्याय एवं विशेष सहायता विभाग, महाराष्ट्र शासन
अधिक मासिक धर्म के खाली दिलेल्या लिंक पर क्लिक करें
https://rb.gy/1mb7yu",spam,0,1,1,1,0,253,0,35,0
आपके आने का इंतजार है।,ham,0,0,0,0,0,22,0,5,1
कमरा नं 31 की साइड सीढ़ी से काले रंग की साइकिल कौन ले गया है।,ham,0,0,0,0,0,61,0,15,1
फ्री क्रेडिट स्कोर चेक करें: https://creditfree.co/lKL98N7M -ScoreCheck।,spam,0,1,1,1,0,72,0,7,0
"प्रिय उपयोगकर्ता, आपकी यात्रा का बुकिंग विवरण । प्रिय उपयोगकर्ता, आपकी यात्रा की बुकिंग सफल हो चुकी है। कृपया इस ईमेल में सभी विवरण की पुष्टि करें।",ham,0,0,0,1,0,147,0,27,1
किसी लक्ष्य को सिर्फ इसलिए मत छोड़ो क्योंकि इसमें समय लगता है।,ham,0,0,0,0,0,62,0,12,1
"नमस्ते! Google में ₹50,000 प्रति माह की जॉब पोज़िशन उपलब्ध है। तुरंत आवेदन करें और इंटरव्यू स्लॉट बुक करें: www.jobatgoogle.com/apply।",spam,0,0,0,1,0,134,0,20,0
"आपका ईमेल अपडेट करने की जरूरत है! प्रिय ग्राहक, आपके ईमेल को अपडेट करने की जरूरत है। यहाँ क्लिक करें: [https://secure-email-update.net]।",spam,0,1,1,1,0,136,0,21,0
"फास्ट लोन टिकट ₹5 लाख तक, बिना क्रेडिट चेक के। अभी संपर्क करें।",spam,0,0,1,1,1,63,0,13,0
आपकी रिंगटोन सेवा बदल गई है! 25 मुफ़्त क्रेडिट! सामग्री के लिए अभी Club4mobiles.com पर जाएं! रुकना? txt क्लब स्टॉप 87070 पर। 150पी/सप्ताह क्लब4 पीओ बॉक्स1146 एमके45 2डब्ल्यूटी,spam,0,0,1,1,0,175,1,28,0
हम कल कब मिल रहे हैं? बताना!,ham,0,0,0,1,0,28,0,7,1
"हे डार्लिंग, 3 हफ्ते हो गए हैं और तुम्हारी कोई खबर नहीं आई! थोड़ी मस्ती करने का मन है, तुम अब भी तैयार हो? जवाब दो OK! XxX मैसेज भेजने का स्टैंडर्ड चार्ज, रिसीव करने का £1.50",spam,0,0,0,1,0,174,0,37,0
"उसकी नी है भाई
पीएचडी दीदी को जाना होता है तो वो बीएस ड्रॉप कृति है",ham,0,0,0,0,0,67,0,16,1
खास ऑफर! 30% की छूट पाने के लिए अभी ऑर्डर करें।,spam,0,0,1,1,0,47,0,11,0
"अशुतोष, छूट ऑफ़र अनलॉक करने के लिए बधाई! अभी बुक करने के लिए यहाँ क्लिक करें u1.mnge.co/70AoJjL",spam,0,0,1,1,0,95,0,17,0
हर प्रतिनिधि मायने रखता है! आज थोड़ा और जोर लगाओ।,ham,0,0,0,1,0,49,0,10,1
"ना कॉल, मैसेज, ना मिस्ड कॉल!",ham,0,0,1,1,0,28,0,6,1
मैंने सुना है अगले महीने एक कॉन्सर्ट है। चलो चलते हैं!,ham,0,0,0,1,0,54,0,11,1
आपका पेट्रोल कार्ड पेंडिंग है। क्लेम करें: https://fuelcard.info/mKL9JN87 -FuelSupport।,spam,0,1,0,1,0,87,0,9,0
"सब ठीक ठाक चाल रहा हे। बस जेसे तैसे काम , जिम्मेदारी,जीबन संभाल रहे हे ।",ham,0,0,0,1,0,72,0,16,1
"आपकी दवा का ऑर्डर है । प्रिय ग्राहक, आपकी दवा का ऑर्डर आपके पते पर भेज दिया गया है। विवरण के लिए यहाँ क्लिक करें: [https://medicines-delivery-service.com]।",spam,0,1,1,1,0,155,0,26,0
"सरप्राइज फर्स्ट डिपॉजिट बोनस - खोया हुआ रिकवरी बोनस आपका इंतजार कर रहा है!
🎉 हमारे बड़े परिवार में शामिल होने के लिए आपका स्वागत है! 🎉

1लॉटरी पर आपके पहले भरोसे और समर्थन के लिए आपको धन्यवाद देने के लिए, हमने आपके लिए एक विशेष आश्चर्य बोनस तैयार किया है - पहला जमा और खोया हुआ पुनर्प्राप्ति बोनस! जब तक आप अपना खाता पंजीकृत करने के बाद पहली जमा राशि में कुछ शर्तों को पूरा करते हैं, आप 500 रुपये तक का बोनस प्राप्त कर सकते हैं!

💰आवेदन राशि: 100-500 रुपये

⏰ आवेदन प्रक्रिया: विवरण के लिए कृपया गतिविधि केंद्र देखें!

💡 हार्दिक अनुस्मारक:

समीक्षा पारित होने के तुरंत बाद बोनस आपके खाते में रिचार्ज कर दिया जाएगा
यदि आपके कोई प्रश्न हैं, तो कृपया बेझिझक हमारी ग्राहक सेवा हॉटलाइन से संपर्क करें या ऑनलाइन ग्राहक सेवा से परामर्श लें
1लॉटरी चुनने के लिए धन्यवाद, हम बेहतर भविष्य बनाने के लिए आपके साथ काम करने के लिए तत्पर हैं! 💪🚀

😬 https://usdtbet6.net/#/register?invिटेशनCode=864652392920",spam,1,1,0,1,0,890,0,163,0
"एक्सिस बैंक में ऑपरेशंस एग्जीक्यूटिव के तौर पर शामिल हों, CTC 4.4 Lpa के साथ। मणिपाल द्वारा एक्सिस बैंक ऑपरेशंस सर्टिफिकेशन के लिए आवेदन करें। अभी आवेदन करें https://bit.ly/459x9xN",spam,0,1,0,1,0,180,0,29,0
मुझे तुम्हारी मदद चाहिए क्या तुम आ सकते हो?,ham,0,0,0,1,0,43,0,9,1
"अब मैं बस आराम करना चाहता हूँ, एक लंबे दिन के बाद।",ham,0,0,0,1,0,50,0,12,1
"बिना डॉक्युमेंट के लोन प्राप्त करें। ""बिना किसी डॉक्युमेंटेशन के, तुरंत लोन प्राप्त करें। केवल सीमित समय के लिए!""",spam,0,0,1,1,0,113,0,19,0
आपके आने का इंतजार है।,ham,0,0,0,0,0,22,0,5,1
परिवार कैसा चल रहा है?,ham,0,0,0,1,0,22,0,5,1
आपको बधाई! आपने 5 लाख रुपये जीते हैं। कृपया हमें तुरंत संपर्क करें।,spam,0,0,1,1,1,67,0,13,0
"प्रिय ग्राहक, Myntra के साथ शॉपिंग करने के लिए धन्यवाद। यह एक महत्वपूर्ण संदेश है। हम आपको सूचित करना चाहते हैं कि आपके ऑर्डर की डिलीवरी में थोड़ी देरी हो रही है। कृपया आश्वस्त रहें, हमने आपकी डिलीवरी को प्राथमिकता दी है और हमारी टीम इसे अगले 72 घंटों के भीतर आपके पास पहुंचाने के लिए सक्रिय रूप से काम कर रही है। आप कभी भी Myntra ऐप पर अपने ऑर्डर को ट्रैक कर सकते हैं। आपकी ओर से किसी भी कार्रवाई की आवश्यकता नहीं है। आपके धैर्य और समझ के लिए हम आभारी हैं।",ham,0,0,0,1,0,457,0,95,1
"विजेता बनें और 10,000 रुपये जीतें! जल्द से जल्द संपर्क करें।",spam,0,0,1,1,0,60,0,11,0
"अरे फैज़ल शनावास 



तेजी से डिजिटलीकरण के बीच, नए जमाने के सॉफ्टवेयर इंजीनियरों की मांग बढ़ रही है! 



आगामी वर्ष में करीब 10 लाख नई नौकरियों के अवसर सामने आएंगे! 



क्रियो के 'सॉफ्टवेयर डेवलपमेंट में फ़ेलोशिप प्रोग्राम' में शामिल होकर इस मांग का लाभ उठाएं:


वास्तविक दुनिया के अनुप्रयोगों के लिए रिएक्ट-संचालित फ्रंटएंड बनाना सीखें



नए जमाने के उत्पादों का निर्माण करके बैकएंड और फुल-स्टैक विकास में विशेषज्ञता



कई अन्य मांग वाले कौशलों के अलावा स्प्रिंग बूट, MySQL, Java और Node.js सीखें



अभी चल रहे हमारे नि:शुल्क परीक्षण में शामिल होकर इस पर एक नज़र डालें कि कैसे अनुभवात्मक शिक्षा आपको एक लोकप्रिय सॉफ्टवेयर डेवलपर बनने में मदद कर सकती है!



अभी ट्रायल में शामिल हों





मोहन,

टीम क्रियो.डू",spam,0,0,1,1,1,708,0,119,0
"सकारात्मक रहें, सक्रिय रहें, मजबूत रहें!",ham,0,0,0,1,0,40,0,6,1
"आपकी परीक्षा की तिथि । प्रिय छात्र, आपकी परीक्षा की तिथि निर्धारित की गई है। कृपया समय पर तैयारी करें।",ham,0,0,0,1,0,102,0,20,1
"आपके फ़ोन पर अनजानी कॉल आई है! प्रिय ग्राहक, आपके फ़ोन पर अनजानी कॉल आई है। जानकारी के लिए यहाँ क्लिक करें: [https://my-telecom-alert.com]।",spam,0,1,1,1,0,139,0,23,0
सपने देखना अच्छी बात है पर सपनों को लेकर बैठना सही नहीं है,ham,0,0,0,0,0,58,0,13,1
आइए और 2 करोड़ रुपये का बड़ा बोनस कमाएं https://d.vajiya.com/cid=6100003,spam,0,1,0,1,1,72,0,10,0
"जो भक्त अपने मन को भगवान में समर्पित करके अनन्य भाव से उनकी भक्ति करते हैं और गहन श्रद्धा से जुड़े होते हैं, वे उनके अनुसार सबसे श्रेष्ठ भक्त होते हैं।",ham,0,0,0,1,0,151,0,31,1
"हन भाई, सब मोह माया हैं",ham,0,0,0,1,0,23,0,6,1
"वाह। आप सही कह रहे हैं! मेरा ऐसा करने का कोई इरादा नहीं था। मुझे लगता है कि एक बार जब मैंने बोस्टन के लोगों को छोड़ दिया और अपना खोज स्थान NYC कर लिया, तो कुछ बदल गया। क्योंकि मेरे साइनाइन पेज पर अभी भी बोस्टन लिखा हुआ है।",ham,0,0,0,1,0,222,0,50,1
क्या आप आज शाम को फ्री हैं?,ham,0,0,1,1,0,27,0,7,1
आपका IRCTC अकाउंट बंद हो जाएगा। सक्रिय करें: https://trainhelp.co/mKL87JN9 -RailwaySupport।,spam,0,1,0,1,0,91,0,10,0
"इस दिवाली को अपने स्मार्टफोन के लिए फ्री ऐप्स, गेम्स, रिंगटोन और बहुत कुछ के साथ खास बनाएं। नोकिया ख़रीदो अब या पाछताओ ऑफर। www.meranokia.com/diwali पर जाएँ",spam,0,0,1,1,0,156,0,27,0
यदि आपको किसी अतिरिक्त जानकारी की आवश्यकता हो तो कृपया मुझे बताएं।,ham,0,0,0,0,0,66,0,12,1
तत्काल कार्रवाई आवश्यक! आपका नाम बोनस इनाम के लिए चुना गया है। तुरंत कॉल करें 09067890123 और कोड 5678 बताएं।,spam,1,0,1,1,0,108,0,20,0
बस आपसे संपर्क कर रहा हूँ!,ham,0,0,0,1,0,26,0,6,1
"भाई, श्याम को कुछ कहने के लिए जायेंगे क्या??
मैं हॉस्टल का खाना खाकर बीमार हो रहा हूं",ham,0,0,0,1,0,85,0,18,1
अपने आप को नई चुनौतियों के लिए तैयार रखें। यही सफलता का रास्ता है।,ham,0,0,0,0,0,66,0,14,1
जन्मदिन मुबारक हो! आशा है कि यह साल आपके लिए शानदार रहेगा!,ham,0,0,0,1,0,58,0,12,1
"क्या आप जल्द ही अपने सपनों का साथी पाएँगे? क्या आपका करियर उड़ान भरने वाला है? मुफ़्त में पता लगाने के लिए, HORO के बाद अपना स्टार साइन लिखें, जैसे HORO ARIES",spam,0,0,1,1,0,158,0,32,0
"लीकेज को कहें बाय-बाय, एशियन पेंट्स से पाएं सुरक्षित पेंटिंग सेवाएं। अभी निःशुल्क अपॉइंटमेंट बुक करें https://bit.ly/48ebSoz",spam,0,1,0,1,0,124,0,17,0
"मन की बात के 10 साल का जश्न मनाएं, दोस्तों के साथ साझा करें और नकद पुरस्कार जीतें। अभी भाग लें: https://quiz.mygov.in/mkb/ : टीम MyGov",spam,0,1,1,1,0,134,0,25,0
"ज्यादा परेशान मत करो मा को , सही से रहो , उनका ध्यान रखो ।",ham,0,0,0,1,0,58,0,15,1
ट्राई मोबाइल नंबरों के सत्यापन / डिस्कनेक्ट के लिए कभी भी संदेश या कॉल नहीं भेजता है। ऐसा मैसेज/कॉल संभावित धोखाधड़ी के हो सकते हैं और इसे दूरसंचार विभाग के चक्षु मॉड्यूल https://sancharsaathi.gov.in/sfc  के माध्यम से सूचित करें। धोखाधड़ी के किसी भी ऐसे दुर्भाग्यपूर्ण शिकार को 1930 या MoHA के cybercrime.gov.in पर रिपोर्ट करें,ham,0,1,1,1,0,327,0,54,1
"फ्री गिफ्ट कार्ड ऑफर! एक सीमित समय के लिए, फ्री गिफ्ट कार्ड पाएं! यहाँ क्लिक करें: [https://win-free-giftcard.com]।",spam,0,1,1,1,0,115,0,17,0
आखिरकार मैच आपकी भविष्यवाणी के अनुसार ड्रॉ की ओर बढ़ रहा है,ham,0,0,0,0,0,59,0,12,1
"अरे, प्री-क्वालिफाइड फ्लिपकार्ट एक्सिस बैंक क्रेडिट कार्ड के साथ बिग बिलियन डेज़ सेल के लिए तैयार हो जाइए! 8% छूट + 5% कैशबैक प्राप्त करें। अभी आवेदन करें http://fkrt.it/sMx4BcuuuN",spam,0,1,0,1,1,180,0,29,0
मेरे जन्मदिन पर बधाई देने के लिए आपका बहुत-बहुत धन्यवाद। आपने मेरा दिन खास और यादगार बना दिया,ham,0,0,1,0,0,93,0,18,1
"मैं जल्द ही घर आ जाऊँगा और मैं आज रात इस बारे में और बात नहीं करना चाहता, ठीक है? आज मैं बहुत रो चुका हूँ।",ham,0,0,0,1,0,106,0,26,1
"अब घर बैठे नौकरी करें। ₹60,000 प्रति मंहगाई।",spam,0,0,0,1,0,44,0,8,0
"प्रिय ग्राहक,

अपने व्यवसाय के लिए खरीदारी के तरीके को सरल बनाएं। हम यहां आपके व्यवसाय खरीदारी अनुभव को बेहतर बनाने के लिए हैं।

अपने मुफ़्त अमेज़न बिजनेस खाते का दावा करें

Amazon Business आपको ढेर सारे लाभ देता है:

जीएसटी चालान और थोक छूट
जीएसटी चालान के साथ 28% तक अतिरिक्त बचत करें और मल्टी-यूनिट ऑर्डर पर अतिरिक्त छूट का लाभ उठाएं।

कैशबैक ऑफर
अपनी पहली व्यावसायिक खरीदारी पर 10% कैशबैक प्राप्त करें।

अभी खरीदें, बाद में भुगतान करें
रुपये तक. 60,000* तत्काल क्रेडिट।

बड़ा मूल्यवान
15+ करोड़ उत्पादों तक पहुंच प्राप्त करें और अब तक की सर्वोत्तम कीमतों पर लोकप्रिय ब्रांडों पर ऑफ़र का लाभ उठाएं।

तेजी से वितरण
Amazon Business आपको 20,000 से अधिक पिन कोड पर तेज़ डिलीवरी देता है। मल्टी-लोकेशन डिलीवरी भी उपलब्ध है।
​
आज ही मुफ़्त में Amazon Business से जुड़ें और नए सौदे अनलॉक करें:
- इलेक्ट्रॉनिक्स पर 70% तक की छूट
- रसोई उपकरणों पर 60% तक की छूट
- लैपटॉप पर 40% तक की छूट

अमेज़न बिजनेस के बारे में अधिक जानने के लिए यहां क्लिक करें।

हम बोर्ड पर आपका स्वागत करने के लिए उत्सुक हैं।


धन्यवाद,
अमेज़न बिजनेस",spam,0,0,1,1,1,1016,0,190,0
"प्रिय एसबीआई यूज़र, आपके खाते X9134 में रु.1500 जमा किए गए हैं दिनांक 04 नवंबर 2024 को, ट्रांसफरकर्ता: गीता देवी, संदर्भ संख्या: 430984880270 -एसबीआई",ham,1,0,0,1,0,149,0,24,1
"आज के दिन में आपको पेमेंट प्रूफ मिल जाएगा। ऐप डाउनलोड करें और पैसे कमाएँ।
👇👇🔥🔥आपका लिंक🔥🔥👇👇
[https://play.google.com/store/apps/details?id=com.clickya.workfromhome](https://play.google.com/store/apps/details?id=com.clickya.workfromhome)

रेफरल कोड 
263119",spam,0,1,0,1,0,255,0,21,0
भीड़-भाड़ वाले स्थानों पर जाने से बचें। खुद भी सुरक्षित रहें और दूसरों को भी सुरक्षित रखें।,ham,0,0,0,0,0,91,0,17,1
आपने एक मुफ्त यात्रा जीती है! अधिक जानकारी के लिए हमसे संपर्क करें।,spam,0,0,1,1,0,67,0,13,0
मैं आज साओ म्यू जा रहा हूँ। दोपहर 12 बजे ही हो जायेंगे,ham,0,0,0,0,0,54,0,13,1
"आपका खाता असुरक्षित है। प्रिय ग्राहक, हमारे रिकॉर्ड के अनुसार आपके खाते में असुरक्षा का मामला है। तुरंत इस लिंक पर क्लिक करें: securebanklink.com ताकि आपकी जानकारी सुरक्षित रहे।",spam,0,0,1,1,0,177,0,29,0
"आपका इनाम प्राप्त करने के लिए अंतिम मौका! ""बधाई हो! आप ₹5 लाख का इनाम जीत चुके हैं। अपने इनाम का दावा करने के लिए तुरंत संपर्क करें।""",spam,0,0,1,1,1,133,0,28,0
"प्रिय मरीज, आपके रिपोर्ट्स तैयार हैं। कृपया हमारे अस्पताल में आकर अपनी रिपोर्ट्स प्राप्त करें और डॉक्टर से परामर्श लें। आपकी स्वास्थ्य का ध्यान रखना हमारी प्राथमिकता है।",ham,0,0,0,1,0,169,0,28,1
"STREE 2 ऑफिस S2 एयरटेल एक्सस्ट्रीम प्ले पर लाइव है
अहा, सोनी लिव, इरोज नाउ, लायंसगेटप्ले और अन्य सहित 20+ ओटीटी तक पहुंच का आनंद लें। 
क्लिक करें - open.airtelxstream.in/watchAha",spam,0,0,1,1,0,178,0,30,0
"सावधान! आपने ई-कॉमर्स/बैंकिंग और अन्य सेवाओं से जुड़े OTPs और SMS मिस किए हैं। इन्हें फिर से प्राप्त करने के लिए सुझाए गए पैक्स से रिचार्ज करें।
अधिक जानकारी के लिए: https://vi.app.link/rcir",ham,0,1,0,1,0,190,0,32,1
किसी अन्य सहायता के लिए संपर्क करें।,ham,0,0,0,0,0,36,0,7,1
"हाय मोहित
सर्दियों में संक्रमण से बचने और मौसमी बीमारियों से उबरने के लिए तैयार हो जाइए।
फुल बॉडी टेस्ट @ रु.699 में बुक करें।
हेल्थियंस 9289628086 पर कॉल करें",spam,1,0,1,1,0,159,0,30,0
"वजन कम करना चाहते हैं? 🌿 सबसे शक्तिशाली प्राकृतिक एडिप्रेन 720 लें! 100% मनी-बैक गारंटी, पेट की चर्बी घटाएं और बिना व्यायाम के मेटाबोलिक रेट बढ़ाएं! http://adiprenl2.com",spam,0,1,0,1,0,169,0,27,0
"COVID-19 वैक्सीन की दूसरी खुराक का रिमाइंडर । प्रिय नागरिक, आपकी COVID-19 वैक्सीन की दूसरी खुराक 20 मार्च को है। कृपया अपनी नजदीकी स्वास्थ्य केंद्र पर जाएं।",ham,0,0,0,1,0,156,0,27,1
"प्रिय सदस्य, एक शानदार मौका!
कॅपिटल एफएम के विशेष ड्रॉ में शामिल होकर आप क्रूज यात्रा और ₹20,000 नकद जीत सकते हैं!
इसमें भाग लेने के लिए आपको कोई खरीदारी करने की आवश्यकता नहीं है। अगले महीने के ड्रॉ में स्वचालित रूप से शामिल होने के लिए अभी जुड़ें।
अधिक जानकारी के लिए:
[लिंक 1 - कैसिनो प्लेटफ़ॉर्म]
[लिंक 2 - स्पोर्ट्सबुक]",spam,0,0,1,1,0,323,0,62,0
"प्रिय आशुतोष जी, आपकी नियमित चेकअप का समय नजदीक है। कृपया समय निकालकर हमारे क्लिनिक में आएं ताकि आपकी स्वास्थ्य की सही जानकारी ली जा सके।",ham,0,0,0,1,0,137,0,26,1
फ्री वॉलेट कैश प्राप्त करें। अभी साइन अप करें और ₹200 का फ्री वॉलेट कैश पाएं। सीमित समय के लिए। जल्दी करें!,spam,0,0,1,1,0,107,0,22,0
"वो किताब जो आपने बताई थी, बहुत अच्छी है।",ham,0,0,0,1,0,40,0,9,1
"आपका बिजली बिल भुगतान की जानकारी । प्रिय ग्राहक, आपका इस महीने का बिजली बिल ₹1250 है। कृपया अंतिम तिथि तक भुगतान सुनिश्चित करें। धन्यवाद।",ham,0,0,0,1,0,137,0,25,1
"फ्री चार्ज ऑफर! नया वॉलेट ऐप इंस्टॉल करने पर ₹50 का फ्री रिचार्ज पाएं। जल्द करें, ऑफर सीमित यूजर्स के लिए है।",spam,0,0,1,1,0,109,0,22,0
क्या हम कल मिल सकते हैं प्रोजेक्ट के बारे में बात करने के लिए?,ham,0,0,0,1,0,62,0,14,1
मुझे दिशा पता नही तो इस लिए बताओ मुझे।,ham,0,0,0,0,0,38,0,9,1
आपको बधाई! आपने 5 लाख रुपये जीते हैं। कृपया हमें तुरंत संपर्क करें।,spam,0,0,1,1,1,67,0,13,0
कृपया मुझे कल की मीटिंग के बारे में जानकारी भेज सकते हैं?,ham,0,0,0,1,0,57,0,12,1
अपने करियर को आगे बढ़ाएँ: आज ही हमारे ऑनलाइन एमबीए प्रोग्राम में दाखिला लें! https://bit.ly/3TNtvrs,spam,0,1,0,1,0,99,0,15,0
आज आपसे मिलकर बहुत अच्छा लगा।,ham,0,0,0,0,0,29,0,6,1
किसी के चेहरे पर मुस्कान लाना सबसे बड़ी नेकी है।,ham,0,0,0,0,0,48,0,10,1
"हरे कृष्ण, ISKCON द्वारका ने पिछले 4 वर्षों में आपकी निरंतर सहायता से 6 करोड़ से अधिक भोजन ज़रूरतमंदों में वितरित किए हैं। आप इसे समर्थन दे सकते हैं, क्लिक करें https://iskcondwarka.org/food और दान करें। ISKCON",spam,0,1,1,1,1,210,0,36,0
कृपया सभी लोग इसे जल्द से जल्द भरें.. यह कल के भव्य भोज और आगे की गड़बड़ियों के लिए महत्वपूर्ण है।,ham,0,0,0,1,0,98,0,21,1
कुछ भी हो...आप तय करें...,ham,0,0,0,1,0,25,0,5,1
शुभकामनाएं! आपके मोबाइल नंबर को विशेष इनाम के लिए चयनित किया गया है। अपना इनाम पाने के लिए 0906123456 पर कॉल करें और अपना क्लेम कोड दर्ज करें।,spam,1,0,1,1,0,142,0,28,0
आपके बिजली बिल में समस्या है। सुधार के लिए तुरंत क्लिक करें: https://billcorrection.co/x7LmK89N -ElectricityHelp।,spam,0,1,1,1,0,113,0,14,0
आज के लिए आपको शुभकामनाएँ!,ham,0,0,0,1,0,26,0,5,1
"नमस्ते, BATA के 'मेक योर वे' कलेक्शन के साथ उत्सव की भावना में शामिल हों। @स्टोर पर दूसरी जोड़ी पर 25% तक की छूट पाएं। अधिक सौदे @ bit.ly/485DLAp TnC,",spam,0,0,0,1,1,150,0,30,0
"नमस्ते अशुतोष, Croma स्टोर्स पर खरीदारी करें और जीतें Tata कारें, Hero बाइक, Titan घड़ियाँ + 10% तक अनलिमिटेड इंस्टेंट कैशबैक + सुनिश्चित उपहार। नियम और शर्तें: http://m.tneu.in/TNCRMA/MWqZGyB",spam,0,1,1,1,0,192,0,28,0
आशा है आप बेहतर महसूस कर रहे होंगे!,ham,0,0,0,1,0,35,0,8,1
मुझे अपनी कार पर बी अक्षर दिखाई देते हैं,ham,0,0,0,0,0,40,0,9,1
"ओए, weekend पे कहीं ट्रिप प्लान करें क्या? ये बार बार घर पे बैठना तोड़ा बोरिंग हो रहा है",ham,0,0,0,1,0,88,0,19,1
"आपका फ़ोन नंबर लकी ड्रा में चयनित! ""बधाई हो! आपके फ़ोन नंबर को लकी ड्रा में चयनित किया गया है। यहाँ क्लिक करें: [https://lucky-draw-winner.com]।",spam,0,1,1,1,0,144,0,24,0
कृपया जब आपके पास कुछ खाली समय हो तो मुझसे संपर्क करें।,ham,0,0,0,0,0,55,0,12,1
3 दिनों में अमीर बनें! मुफ्त टिप्स पाने के लिए यहां क्लिक करें: https://getrichfast.info/x9JLKm78 -WealthGuide।,spam,0,1,1,1,0,111,0,15,0
आपका स्मार्टफोन सुरक्षा अलर्ट। तुरंत स्कैन करें: https://phonesecure.top/mKL9JN87 -SafePhone।,spam,0,1,0,1,0,93,0,9,0
"आपके द्वारा जीते गए इनाम का दावा करें। ""आपने लकी ड्रा में जीत हासिल की है। अपना इनाम प्राप्त करने के लिए यहाँ क्लिक करें: [https://lucky-draw-winner.com]।""",spam,0,1,1,1,0,155,0,26,0
आपके लिए विशेष छुट्टी का ऑफर! विशेष छुट्टी पैकेज केवल आपको! विवरण के लिए इस लिंक पर क्लिक करें: [http://claim-your-dream-vacation.com]।,spam,0,1,1,1,0,135,0,20,0
मुझे उम्मीद है कि आप अच्छे हैं!,ham,0,0,0,1,0,31,0,7,1
"**हे रंजन कुमार! 😊**  
आपका 1:1 मेंटॉरशिप ट्रायल सत्र निधि गुप्ता के साथ 6/11/2024 को रात 9:00 बजे निर्धारित है।  
मेंटोर आपकी समय पर सत्र में शामिल होने की पुष्टि की प्रतीक्षा कर रहे हैं😊  

कृपया नीचे पुष्टि करें कि आप सत्र में शामिल होंगे 👇  

**हमें उम्मीद है कि आप भी उतने ही उत्साहित हैं जितना हम हैं!🚀**  
**कोई प्रतिक्रिया न देने पर स्वतः रद्दीकरण हो सकता है",ham,0,0,0,1,0,366,0,69,1
"फिटनेस पर 60% छूट! अपनी प्रीमियम मेंबरशिप अपग्रेड करें और बेहतरीन परिणाम देखें। डम्बल वेरिएशन चेस्ट वर्कआउट, स्क्वाट्स मास्टरी और अल्टीमेट लेग स्ट्रेंथ प्रोग्राम। अभी ट्राई करें!",spam,0,0,0,1,0,178,0,27,0
"आपकी लॉटरी जीत का दावा करें! बधाई हो! आप हमारी लॉटरी में विजेता बने हैं। ₹50,000 का इनाम पाने के लिए हमें तुरंत जवाब दें।",spam,0,0,1,1,0,121,0,25,0
चाय के समय मिलते हैं।,ham,0,0,0,0,0,21,0,5,1
Volume 4: 'K' से शुरू होने वाले हित्ती शब्दों का संकलन 📚 - प्राचीन निकट पूर्वी भाषा और इंडो-यूरोपियन अध्ययन के लिए महत्वपूर्ण! अभी खरीदें DM 248 में! ISBN 3-11-015491-9,spam,1,0,1,1,0,168,0,30,0
"माही! तुमसे बहुत दिन बाद बात हो रही है। इस बीच, मैंने बहुत कुछ सीखा है और मुझे लगता है कि अब कुछ चीजों पर ध्यान देने की जरूरत है। मुझे अब खुद के लिए कुछ समय निकालने की आदत डालनी चाहिए। वैसे, तुम्हारा हेल्थ प्रोग्राम कैसे चल रहा है?",ham,0,0,0,1,0,231,0,50,1
आपकी यात्रा सुरक्षित हो!,ham,0,0,0,1,0,24,0,4,1
विशेष ऑफर: कोड: RWYVSP का उपयोग करके घरेलू उड़ान बुकिंग पर 3000 तक की छूट*। अभी बुक करें - https://app.mmyt.co/Xm2V/lll8l8dr | टीम मेकमायट्रिप,spam,0,1,1,1,0,142,0,23,0
"आपका स्वास्थ्य चेकअप का परिणाम । प्रिय ग्राहक, आपके स्वास्थ्य चेकअप का परिणाम संलग्न है। कृपया इसे ध्यान से देखें।",ham,0,0,0,1,0,114,0,20,1
मैं काम लगभग खत्म कर चुका हूँ। जल्द ही उपलब्ध हो जाऊँगा!,ham,0,0,0,1,0,56,0,12,1
"नही अर्जुन के और भी बीवी थी , द्रौपदी और सुभद्रा को छोड़के ।",ham,0,0,0,1,0,59,0,14,1
विशेष ऑफर! आज ही 50% की छूट का लाभ उठाएं। अभी कॉल करें।,spam,0,0,1,1,0,55,0,13,0
"जल्दी मिलते हैं, तुमसे बात करने का इंतजार है।",ham,0,0,1,1,0,45,0,9,1
एसएमएस। एसी sun0819 पोस्ट नमस्ते:आप शांत लग रहे हैं,spam,0,0,0,1,0,51,0,9,0
मुझे विश्वास है कि आप अच्छा कर रहे हैं।,ham,0,0,0,0,0,39,0,9,1
